rank,player_id,name,wins,games,winrate,period_start,period_end,quality,source
1,9bf02918-02f7-4c91-a4cf-6705e1b92e63,Siegfried,709,1404,50.5,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
2,2fe864b5-2534-47e3-ae85-bc8504c66ea7,Crudd,437,899,48.61,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
3,ef0f1623-66b8-4e57-9f0a-08b104875b7e,GrosserSpino,380,767,49.54,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
4,1f31589a-ff67-4788-9af4-4f877c4b45e1,Davi cardoso,367,808,45.42,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
5,7341ce78-2973-49c5-b667-25f4dd99b2a3,Worldz,324,1120,28.93,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
6,144aeeba-e524-4f20-8244-651fe0338eba,~ Stickman A ~,316,814,38.82,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
7,f723fc8c-d3e4-4646-bbf7-6ffa723ffc25,POLTIGLIA,308,766,40.21,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
8,995e395e-841d-4ff3-87e8-0084084ee237,Yeboah,301,934,32.23,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
9,ec7cac36-b473-4510-bc77-b4cd5d809c0a,matrixical,289,579,49.91,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
10,16984496-8e4b-4bbe-b5af-57f361c7e9ca,jess,275,851,32.31,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
11,7f9acfd0-aa6e-4953-bb42-f0148fcedf6d,Unlimited.Blade.Work,255,596,42.79,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
12,c6971072-6af3-4a6a-bff8-1fafde84fbad,peperonie07,234,889,26.32,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
13,e2306b13-9a4a-4800-9b46-dceeae77608d,Flunked xD,227,470,48.3,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
14,723a4f65-fb92-4fdc-b8e3-0d552eaf7450,Unlimited,219,412,53.16,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
15,e37843f3-5e95-48de-bd9f-638bf5f4b84d,twilightphi,211,360,58.61,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
16,be8faa3f-6d6f-4f40-b163-c4508d6e7817,The g0at,192,811,23.67,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
17,42cbe1e1-ee66-435b-9e5e-b10e1298213b,E Mochita,187,446,41.93,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
18,2e985ef5-6666-4443-9809-202427c67ada,7t Galactic_Pizza_,181,510,35.49,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
19,76cfeb2a-b005-4d2b-811d-7e1c696c42ff,Sambodi,178,412,43.2,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
20,216a32dd-44ef-4a42-b132-c3fab926904d,_MAESTRO_,176,355,49.58,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
21,d793923a-3a7e-418c-89d8-96fc6342aec7,TurboFood,175,364,48.08,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
22,bff469c7-8dd7-4e3f-80bd-1f27fd11c691,Linaooo,175,1050,16.67,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
23,a8001f3c-a01b-4634-a728-55b82f65a21e,Gooberpro,174,397,43.83,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
24,63b3930c-56fa-4cec-ad8a-2c87320f6930,XGD3,173,547,31.63,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
25,1608b8e8-fcb1-4bcd-8608-5d087a882d70,TurboDaddy,172,333,51.65,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
26,cdc8e724-5a3f-4365-af50-4d1e98aca441,_PROFE_,172,356,48.31,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
27,a42179a6-b0a3-492c-861e-6cfcd65429c3,Henry8822,167,547,30.53,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
28,60bf5b15-0a3e-4839-8786-47427f7e183d,LoryGaming,166,315,52.7,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
29,3dfad18b-134c-4142-a495-24defadddc00,7t BeaverOnUTube,163,478,34.1,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
30,09dd99ec-5694-481d-848f-ad48c273a566,The Red Baron,162,407,39.8,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
31,50feb3f8-8879-4956-9bd6-2647fecb164f,stellanova_rose,162,644,25.16,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
32,23293f0d-faa5-406c-82fd-7d9298b8d41c,Worldx,160,234,68.38,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
33,d9464395-7054-4a33-bf0d-9b42e5a8aa29,GREDI,159,352,45.17,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
34,caf4e45f-81de-4c20-927e-f1a5820cf3cb,HC,156,390,40.0,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
35,32938fda-a824-4209-8d44-ed38c083ee3f,Sheerfails,156,416,37.5,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
36,77dda853-2240-4706-840b-ad69994173a8,7t MON00612,155,516,30.04,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
37,0ea6a1b6-09ad-4d33-989e-35b0b83fea9d,Johnie,148,344,43.02,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
38,076f8dad-6016-4224-af2c-ad2c182c1a15,x.y.z_08.11,147,806,18.24,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
39,310a150e-3304-4e36-8328-97bbfe0a28f6,LUCIFER,146,301,48.5,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
40,e47c6e65-f6ed-4c40-adf4-c35d3bac5bd5,AAAAA,145,319,45.45,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
41,e28b4f9d-915c-4eb1-9932-af4f14c16ae2,Carlonane,141,556,25.36,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
42,093ddd36-ff70-4b5c-b5ca-8a5e40f5489b,WhisperWind,141,621,22.71,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
43,a285b7b7-d4f7-4b13-98dc-45ad89b36e5b,aqi,140,459,30.5,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
44,997576d9-0946-466b-826b-cf99d3639ce7,PizzaKingIsBUNS,138,333,41.44,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
45,ab3d4a40-5685-4374-9714-66e0790e3971,PXH HalalYAHUAH,137,310,44.19,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
46,f2167709-9017-43dc-b6f1-628c8eaadb62,COLT,136,198,68.69,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
47,373126e2-e473-4082-92c2-b4c6f648bc5b,SpitfireCat,135,284,47.54,2026-07-01,2026-07-31,exact,Leaderboards Monthly Top100/2026-07/assets.csv
