rank,player_id,name,wins,games,winrate,period_start,period_end,quality,source
1,b886a191-8850-4632-a8b3-b2b2f03cba88,Guest8484,504,1332,37.84,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
2,310a150e-3304-4e36-8328-97bbfe0a28f6,LUCIFER,275,530,51.89,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
3,f45172ef-58c6-4054-a97b-aafa5dc492fb,Lavender77,239,877,27.25,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
4,16984496-8e4b-4bbe-b5af-57f361c7e9ca,jess ♡,212,1100,19.27,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
5,2b6447a8-44de-485d-91fa-a9633b4a66af,ToJ QTN Nothing,212,541,39.19,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
6,9397fe2e-dee1-48dc-b4a9-84d69b16b708,BOOPSY,200,409,48.9,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
7,e28b4f9d-915c-4eb1-9932-af4f14c16ae2,Carlonane,198,717,27.62,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
8,216a32dd-44ef-4a42-b132-c3fab926904d,_MAESTRO_,197,684,28.8,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
9,ef0f1623-66b8-4e57-9f0a-08b104875b7e,GrosserSpino,175,423,41.37,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
10,81165876-ce4e-4e3c-a3a7-237720a31d4e,lizaveta,150,574,26.13,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
11,c01c6a1f-3d78-4289-b6a6-5f05ae69f295,ToJ Seatr9n,145,293,49.49,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
12,0c17cbc7-57b1-454e-857b-b34934b5b156,Los diablo,139,516,26.94,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
13,caf4e45f-81de-4c20-927e-f1a5820cf3cb,HC,138,576,23.96,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
14,313f4c0f-e782-4d19-a71b-a1ddf01cc8a2,handymanny,135,520,25.96,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
15,42cbe1e1-ee66-435b-9e5e-b10e1298213b,mochita,118,521,22.65,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
16,61db8d45-d4d2-453a-b77a-70b8a3c03c1e,mukill3r,96,395,24.3,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
17,e37843f3-5e95-48de-bd9f-638bf5f4b84d,twilightphi,93,258,36.05,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
18,ede8b0c4-421f-4fb9-b0b2-7d2896d56585,DreamyBread.XCJF,91,315,28.89,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
19,6ed71f6b-f000-4af1-beae-e1351fe01aab,(those who lost the game),82,352,23.3,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
20,c2836c77-5439-4cd2-8207-eeb5807f30f7,ToJ TRow,67,152,44.08,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
21,c33a47f8-7c32-4197-a497-6335171a926e,pulga,64,422,15.17,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
22,b36f404b-c5f0-40b8-b70e-ef45cf916817,Shparkles,61,301,20.27,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
23,e66af725-24c9-4358-a2f8-931ce82b7182,Frijoles,60,232,25.86,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
24,0ac8bcaa-06a6-4f59-9a7a-5bcf730dd9d0,27,56,160,35.0,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
25,dae3c760-297e-4989-9070-2151a940c1cd,blackfire,49,254,19.29,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
26,deb5bcf5-2747-4645-bf7a-b29222e31fce,Liamiscool,41,248,16.53,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
27,d6a94d5e-3924-4e4a-aede-94038d9c4a04,Randy Sandwich,30,140,21.43,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
28,2e5f5861-e9b6-42b5-8a52-6e35c144f95e,Drew Lock,27,148,18.24,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
29,4d7a712b-50fa-4b68-9194-ac4440074ed2,CutieWindStorm,23,180,12.78,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
30,0ee46d5e-afdd-4786-b745-97e3df034412,Norsunaama,22,97,22.68,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
31,a804268f-9c76-413e-808f-1e934fe46b90,Afterglow,21,75,28.0,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
32,292f9c0f-693f-4937-8ae7-8bc1b7874d96,Den Kelly,17,46,36.96,2025-04-01,2025-04-30,estimated,exports/yearly/2025_race.csv
