rank,player_id,name,wins,games,winrate,period_start,period_end,quality,source
1,310a150e-3304-4e36-8328-97bbfe0a28f6,LUCIFER,576,1076,53.53,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
2,b886a191-8850-4632-a8b3-b2b2f03cba88,leck sibbi,358,740,48.38,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
3,f45172ef-58c6-4054-a97b-aafa5dc492fb,Lavender77,338,981,34.45,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
4,16984496-8e4b-4bbe-b5af-57f361c7e9ca,jess,229,946,24.21,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
5,b36f404b-c5f0-40b8-b70e-ef45cf916817,Shparkles,225,610,36.89,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
6,81165876-ce4e-4e3c-a3a7-237720a31d4e,lizaveta,200,546,36.63,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
7,e28b4f9d-915c-4eb1-9932-af4f14c16ae2,Carlonane,193,742,26.01,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
8,caf4e45f-81de-4c20-927e-f1a5820cf3cb,HC,192,576,33.33,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
9,c01c6a1f-3d78-4289-b6a6-5f05ae69f295,ToJ Seatron,162,295,54.92,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
10,ede8b0c4-421f-4fb9-b0b2-7d2896d56585,DreamyBread.XCJF,137,367,37.33,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
11,9397fe2e-dee1-48dc-b4a9-84d69b16b708,BOOPSY,137,332,41.27,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
12,0ac8bcaa-06a6-4f59-9a7a-5bcf730dd9d0,27,133,384,34.64,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
13,a804268f-9c76-413e-808f-1e934fe46b90,Afterglow,126,708,17.8,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
14,2b6447a8-44de-485d-91fa-a9633b4a66af,GUARD MOM,123,241,51.04,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
15,216a32dd-44ef-4a42-b132-c3fab926904d,_MAESTRO_,122,339,35.99,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
16,ef0f1623-66b8-4e57-9f0a-08b104875b7e,GrosserSpino,107,223,47.98,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
17,2e5f5861-e9b6-42b5-8a52-6e35c144f95e,Drew Lock,83,313,26.52,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
18,c33a47f8-7c32-4197-a497-6335171a926e,pulga,75,405,18.52,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
19,6ed71f6b-f000-4af1-beae-e1351fe01aab,. .,68,180,37.78,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
20,c2836c77-5439-4cd2-8207-eeb5807f30f7,ToJ TRow,66,183,36.07,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
21,e37843f3-5e95-48de-bd9f-638bf5f4b84d,twilightphi,61,146,41.78,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
22,8250fdc6-0dba-4c3c-b66b-02186435f5db,Magiccards,56,184,30.43,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
23,e66af725-24c9-4358-a2f8-931ce82b7182,Frijoles,45,201,22.39,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
24,9092613a-e4db-4180-870a-7be368c530f8,HotDonut.65TN,29,135,21.48,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
25,292f9c0f-693f-4937-8ae7-8bc1b7874d96,Den Kelly,24,86,27.91,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
26,4cee8b5d-7340-4cd4-980d-38c59a322b7f,Lord Cuctus,23,117,19.66,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
27,0c17cbc7-57b1-454e-857b-b34934b5b156,Los diablo,11,32,34.38,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
28,61db8d45-d4d2-453a-b77a-70b8a3c03c1e,mukill3r,9,55,16.36,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
29,c3d3bdc3-c4c4-4331-a606-ae016339734a,XxSEVENTIxX,6,34,17.65,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
30,deb5bcf5-2747-4645-bf7a-b29222e31fce,Liamiscool,3,14,21.43,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
31,98aa547d-388e-4a04-9de2-498754736f49,chrixclub,2,10,20.0,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
32,313f4c0f-e782-4d19-a71b-a1ddf01cc8a2,handymanny,1,7,14.29,2025-08-01,2025-09-01,exact,exports/yearly/2025_race.csv
