rank,player_id,name,wins,games,winrate,period_start,period_end,quality,source
1,9397fe2e-dee1-48dc-b4a9-84d69b16b708,BOOPSY,599,1475,40.61,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
2,b886a191-8850-4632-a8b3-b2b2f03cba88,ibbis,588,1800,32.67,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
3,310a150e-3304-4e36-8328-97bbfe0a28f6,LUCIFER,443,757,58.52,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
4,0ac8bcaa-06a6-4f59-9a7a-5bcf730dd9d0,27,408,996,40.96,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
5,81165876-ce4e-4e3c-a3a7-237720a31d4e,lizaveta,275,887,31.0,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
6,f45172ef-58c6-4054-a97b-aafa5dc492fb,Lavender77,264,926,28.51,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
7,2b6447a8-44de-485d-91fa-a9633b4a66af,ToJ QTN Nothing,250,648,38.58,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
8,216a32dd-44ef-4a42-b132-c3fab926904d,_MAESTRO_,208,918,22.66,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
9,e28b4f9d-915c-4eb1-9932-af4f14c16ae2,Carlonane,194,790,24.56,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
10,ef0f1623-66b8-4e57-9f0a-08b104875b7e,GrosserSpino,189,613,30.83,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
11,6ed71f6b-f000-4af1-beae-e1351fe01aab,. .,185,782,23.66,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
12,61db8d45-d4d2-453a-b77a-70b8a3c03c1e,mukill3r,183,882,20.75,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
13,0c106935-7f93-4047-a66f-bf53ef779208,Refrag,182,489,37.22,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
14,e37843f3-5e95-48de-bd9f-638bf5f4b84d,twilightphi,171,542,31.55,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
15,c2836c77-5439-4cd2-8207-eeb5807f30f7,ToJ TRow,131,400,32.75,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
16,d6a94d5e-3924-4e4a-aede-94038d9c4a04,Randy Sandwich,124,484,25.62,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
17,313f4c0f-e782-4d19-a71b-a1ddf01cc8a2,handymanny,110,457,24.07,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
18,c01c6a1f-3d78-4289-b6a6-5f05ae69f295,ToJ Seatron,91,331,27.49,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
19,a804268f-9c76-413e-808f-1e934fe46b90,Afterglow,86,359,23.96,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
20,caf4e45f-81de-4c20-927e-f1a5820cf3cb,HC,82,465,17.63,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
21,b36f404b-c5f0-40b8-b70e-ef45cf916817,Shparkles,78,263,29.66,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
22,0c17cbc7-57b1-454e-857b-b34934b5b156,Los diablo,77,398,19.35,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
23,42cbe1e1-ee66-435b-9e5e-b10e1298213b,mochita,73,409,17.85,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
24,0ee46d5e-afdd-4786-b745-97e3df034412,Norsunaama,73,361,20.22,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
25,292f9c0f-693f-4937-8ae7-8bc1b7874d96,Den Kelly,71,349,20.34,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
26,16984496-8e4b-4bbe-b5af-57f361c7e9ca,jess,63,668,9.43,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
27,ede8b0c4-421f-4fb9-b0b2-7d2896d56585,DreamyBread.XCJF,50,241,20.75,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
28,0d92434d-0c79-4b2d-84fe-119415ace49f,TopFantom1111,45,288,15.62,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
29,4d7a712b-50fa-4b68-9194-ac4440074ed2,CutieWindStorm,31,303,10.23,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
30,2e5f5861-e9b6-42b5-8a52-6e35c144f95e,Drew Lock,19,126,15.08,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
31,9092613a-e4db-4180-870a-7be368c530f8,HotDonut.65TN,17,105,16.19,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
32,dae3c760-297e-4989-9070-2151a940c1cd,blackfire,13,86,15.12,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
33,e66af725-24c9-4358-a2f8-931ce82b7182,Frijoles,13,51,25.49,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
34,cca7b146-5dd2-433e-915a-a5cc605e836e,Mosca,9,69,13.04,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
35,deb5bcf5-2747-4645-bf7a-b29222e31fce,Liamiscool,8,48,16.67,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
36,98aa547d-388e-4a04-9de2-498754736f49,chrixclub,7,66,10.61,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
37,4cee8b5d-7340-4cd4-980d-38c59a322b7f,Lord Cuctus,2,6,33.33,2025-01-31,2025-02-28,estimated,exports/yearly/2025_race.csv
