rank,player_id,name,wins,games,winrate,period_start,period_end,quality,source
1,ef0f1623-66b8-4e57-9f0a-08b104875b7e,GrosserSpino,248,632,39.24,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
2,e37843f3-5e95-48de-bd9f-638bf5f4b84d,twilightphi,246,500,49.2,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
3,16984496-8e4b-4bbe-b5af-57f361c7e9ca,jess,207,742,27.9,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
4,c01c6a1f-3d78-4289-b6a6-5f05ae69f295,ToJ Seatron,180,319,56.43,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
5,310a150e-3304-4e36-8328-97bbfe0a28f6,LUCIFER,167,309,54.05,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
6,b36f404b-c5f0-40b8-b70e-ef45cf916817,Shparkles,143,459,31.15,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
7,caf4e45f-81de-4c20-927e-f1a5820cf3cb,HC,133,407,32.68,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
8,81165876-ce4e-4e3c-a3a7-237720a31d4e,lizaveta,130,310,41.94,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
9,216a32dd-44ef-4a42-b132-c3fab926904d,_MAESTRO_,102,274,37.23,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
10,2e5f5861-e9b6-42b5-8a52-6e35c144f95e,Drew Lock,91,314,28.98,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
11,0ac8bcaa-06a6-4f59-9a7a-5bcf730dd9d0,27,89,230,38.7,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
12,deb5bcf5-2747-4645-bf7a-b29222e31fce,Liamiscool,83,332,25.0,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
13,c33a47f8-7c32-4197-a497-6335171a926e,pulga,77,399,19.3,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
14,313f4c0f-e782-4d19-a71b-a1ddf01cc8a2,handymanny,69,239,28.87,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
15,a804268f-9c76-413e-808f-1e934fe46b90,Afterglow,56,212,26.42,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
16,e66af725-24c9-4358-a2f8-931ce82b7182,Frijoles,52,196,26.53,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
17,ede8b0c4-421f-4fb9-b0b2-7d2896d56585,DreamyBread.XCJF,45,155,29.03,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
18,61db8d45-d4d2-453a-b77a-70b8a3c03c1e,mukill3r,38,220,17.27,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
19,e28b4f9d-915c-4eb1-9932-af4f14c16ae2,leave me alone,30,166,18.07,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
20,42cbe1e1-ee66-435b-9e5e-b10e1298213b,Mochita,22,115,19.13,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
21,0ee46d5e-afdd-4786-b745-97e3df034412,Norsunaama,16,119,13.45,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
22,c2836c77-5439-4cd2-8207-eeb5807f30f7,ToJ TRow,16,66,24.24,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
23,4cee8b5d-7340-4cd4-980d-38c59a322b7f,Lord Cuctus,13,49,26.53,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
24,dae3c760-297e-4989-9070-2151a940c1cd,blackfire,6,21,28.57,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
25,9092613a-e4db-4180-870a-7be368c530f8,HotDonut.65TN,2,16,12.5,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
26,0c17cbc7-57b1-454e-857b-b34934b5b156,Los diablo,2,9,22.22,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
27,6ed71f6b-f000-4af1-beae-e1351fe01aab,. .,1,4,25.0,2025-12-01,2025-12-30,estimated,exports/yearly/2025_race.csv
