rank,player_id,name,wins,games,winrate,period_start,period_end,quality,source
1,310a150e-3304-4e36-8328-97bbfe0a28f6,lucifer,534,1146,46.6,2024-12-04,2024-12-25,estimated,exports/yearly/2024_race.csv
2,b886a191-8850-4632-a8b3-b2b2f03cba88,leck sibbi,386,1041,37.08,2024-12-04,2024-12-25,estimated,exports/yearly/2024_race.csv
3,81165876-ce4e-4e3c-a3a7-237720a31d4e,lizaveta,239,661,36.16,2024-12-04,2024-12-25,estimated,exports/yearly/2024_race.csv
4,0c106935-7f93-4047-a66f-bf53ef779208,Refrag,229,606,37.79,2024-12-04,2024-12-25,estimated,exports/yearly/2024_race.csv
5,0ac8bcaa-06a6-4f59-9a7a-5bcf730dd9d0,27,184,573,32.11,2024-12-04,2024-12-25,estimated,exports/yearly/2024_race.csv
6,e37843f3-5e95-48de-bd9f-638bf5f4b84d,twilightphi,152,429,35.43,2024-12-04,2024-12-25,estimated,exports/yearly/2024_race.csv
7,9397fe2e-dee1-48dc-b4a9-84d69b16b708,Boopsy,140,463,30.24,2024-12-04,2024-12-25,estimated,exports/yearly/2024_race.csv
8,313f4c0f-e782-4d19-a71b-a1ddf01cc8a2,handymanny,136,524,25.95,2024-12-04,2024-12-25,estimated,exports/yearly/2024_race.csv
9,ef0f1623-66b8-4e57-9f0a-08b104875b7e,GrosserSpino,134,360,37.22,2024-12-04,2024-12-25,estimated,exports/yearly/2024_race.csv
10,12f5249a-a391-4f6e-9003-ed023cf3ed88,Yoyble,115,182,63.19,2024-12-04,2024-12-25,estimated,exports/yearly/2024_race.csv
11,98e63e75-1ec5-4310-80ee-020ba1d60dd0,GooberNut,111,205,54.15,2024-12-04,2024-12-25,estimated,exports/yearly/2024_race.csv
12,e28b4f9d-915c-4eb1-9932-af4f14c16ae2,Carlonane,107,359,29.81,2024-12-04,2024-12-25,estimated,exports/yearly/2024_race.csv
13,0192fbff-9641-4f1c-b926-7d4e9d2f0271,H is on fire,106,410,25.85,2024-12-04,2024-12-25,estimated,exports/yearly/2024_race.csv
14,292f9c0f-693f-4937-8ae7-8bc1b7874d96,Den Kelly,103,499,20.64,2024-12-04,2024-12-25,estimated,exports/yearly/2024_race.csv
