rank,player_id,name,wins,games,winrate,period_start,period_end,quality,source
1,310a150e-3304-4e36-8328-97bbfe0a28f6,Guest3928,385,703,54.77,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
2,b886a191-8850-4632-a8b3-b2b2f03cba88,sumone,331,854,38.76,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
3,16984496-8e4b-4bbe-b5af-57f361c7e9ca,jess ♡,275,1137,24.19,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
4,f45172ef-58c6-4054-a97b-aafa5dc492fb,Lavender77,265,777,34.11,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
5,9397fe2e-dee1-48dc-b4a9-84d69b16b708,Im Depressed,231,506,45.65,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
6,ef0f1623-66b8-4e57-9f0a-08b104875b7e,GrosserSpino,206,490,42.04,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
7,81165876-ce4e-4e3c-a3a7-237720a31d4e,lizaveta,180,521,34.55,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
8,caf4e45f-81de-4c20-927e-f1a5820cf3cb,HC,171,643,26.59,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
9,c33a47f8-7c32-4197-a497-6335171a926e,pulga,161,1096,14.69,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
10,2b6447a8-44de-485d-91fa-a9633b4a66af,ToJ QTN Nothing,155,381,40.68,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
11,216a32dd-44ef-4a42-b132-c3fab926904d,_MAESTRO_,150,430,34.88,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
12,c01c6a1f-3d78-4289-b6a6-5f05ae69f295,ToJ Seatron,146,314,46.5,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
13,6ed71f6b-f000-4af1-beae-e1351fe01aab,. .,145,453,32.01,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
14,e37843f3-5e95-48de-bd9f-638bf5f4b84d,twilightphi,112,252,44.44,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
15,0ac8bcaa-06a6-4f59-9a7a-5bcf730dd9d0,27,111,277,40.07,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
16,b36f404b-c5f0-40b8-b70e-ef45cf916817,Shparkles,108,343,31.49,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
17,e28b4f9d-915c-4eb1-9932-af4f14c16ae2,Carlonane,107,450,23.78,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
18,0c17cbc7-57b1-454e-857b-b34934b5b156,Los diablo,91,321,28.35,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
19,313f4c0f-e782-4d19-a71b-a1ddf01cc8a2,handymanny,88,340,25.88,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
20,dae3c760-297e-4989-9070-2151a940c1cd,blackfire,75,368,20.38,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
21,ede8b0c4-421f-4fb9-b0b2-7d2896d56585,DreamyBread.XCJF,56,242,23.14,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
22,deb5bcf5-2747-4645-bf7a-b29222e31fce,Liamiscool,54,274,19.71,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
23,a804268f-9c76-413e-808f-1e934fe46b90,Afterglow,49,231,21.21,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
24,292f9c0f-693f-4937-8ae7-8bc1b7874d96,Den Kelly,44,177,24.86,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
25,2e5f5861-e9b6-42b5-8a52-6e35c144f95e,Drew Lock,32,160,20.0,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
26,42cbe1e1-ee66-435b-9e5e-b10e1298213b,mochita,30,187,16.04,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
27,e66af725-24c9-4358-a2f8-931ce82b7182,Frijoles,23,77,29.87,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
28,9092613a-e4db-4180-870a-7be368c530f8,HotDonut.65TN,10,55,18.18,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
29,0ee46d5e-afdd-4786-b745-97e3df034412,Norsunaama,9,84,10.71,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
30,c2836c77-5439-4cd2-8207-eeb5807f30f7,ToJ TRow,7,24,29.17,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
31,98aa547d-388e-4a04-9de2-498754736f49,chrixclub,3,9,33.33,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
32,4d7a712b-50fa-4b68-9194-ac4440074ed2,CutieWindStorm,2,123,1.63,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
33,2128da01-335a-403f-ba6c-47356273260d,Metro,1,6,16.67,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
34,4cee8b5d-7340-4cd4-980d-38c59a322b7f,Lord Cuctus,1,1,100.0,2025-04-30,2025-06-02,estimated,exports/yearly/2025_race.csv
