rank,player_id,name,wins,games,winrate,period_start,period_end,quality,source
1,310a150e-3304-4e36-8328-97bbfe0a28f6,Guest6562,1000,1691,59.14,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
2,b886a191-8850-4632-a8b3-b2b2f03cba88,leck sibbi,442,1002,44.11,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
3,6ed71f6b-f000-4af1-beae-e1351fe01aab,. .,230,626,36.74,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
4,f45172ef-58c6-4054-a97b-aafa5dc492fb,Lavender77,223,673,33.14,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
5,ef0f1623-66b8-4e57-9f0a-08b104875b7e,GrosserSpino,202,463,43.63,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
6,c01c6a1f-3d78-4289-b6a6-5f05ae69f295,Baxter,189,314,60.19,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
7,16984496-8e4b-4bbe-b5af-57f361c7e9ca,jess ♡,180,656,27.44,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
8,9397fe2e-dee1-48dc-b4a9-84d69b16b708,BOOPSY,168,444,37.84,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
9,81165876-ce4e-4e3c-a3a7-237720a31d4e,lizaveta,147,488,30.12,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
10,b36f404b-c5f0-40b8-b70e-ef45cf916817,Shparkles,133,383,34.73,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
11,2b6447a8-44de-485d-91fa-a9633b4a66af,ToJ QTN Nothing,133,305,43.61,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
12,caf4e45f-81de-4c20-927e-f1a5820cf3cb,HC,126,467,26.98,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
13,0c17cbc7-57b1-454e-857b-b34934b5b156,Los diablo,123,411,29.93,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
14,e37843f3-5e95-48de-bd9f-638bf5f4b84d,twilightphi,112,252,44.44,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
15,0ac8bcaa-06a6-4f59-9a7a-5bcf730dd9d0,27,98,359,27.3,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
16,2e5f5861-e9b6-42b5-8a52-6e35c144f95e,Drew Lock,93,383,24.28,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
17,e28b4f9d-915c-4eb1-9932-af4f14c16ae2,Carlonane,91,382,23.82,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
18,c33a47f8-7c32-4197-a497-6335171a926e,pulga,88,534,16.48,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
19,216a32dd-44ef-4a42-b132-c3fab926904d,_MAESTRO_,87,263,33.08,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
20,292f9c0f-693f-4937-8ae7-8bc1b7874d96,Den Kelly,82,244,33.61,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
21,ede8b0c4-421f-4fb9-b0b2-7d2896d56585,DreamyBread.XCJF,71,279,25.45,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
22,deb5bcf5-2747-4645-bf7a-b29222e31fce,Liamiscool,54,237,22.78,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
23,e66af725-24c9-4358-a2f8-931ce82b7182,Frijoles,44,170,25.88,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
24,313f4c0f-e782-4d19-a71b-a1ddf01cc8a2,handymanny,41,186,22.04,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
25,a804268f-9c76-413e-808f-1e934fe46b90,Afterglow,30,132,22.73,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
26,42cbe1e1-ee66-435b-9e5e-b10e1298213b,mochita,22,91,24.18,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
27,9092613a-e4db-4180-870a-7be368c530f8,HotDonut.65TN,15,83,18.07,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
28,4cee8b5d-7340-4cd4-980d-38c59a322b7f,Lord Cuctus,14,47,29.79,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
29,0c106935-7f93-4047-a66f-bf53ef779208,Refrag,11,32,34.38,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
30,61db8d45-d4d2-453a-b77a-70b8a3c03c1e,mukill3r,10,61,16.39,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
31,8250fdc6-0dba-4c3c-b66b-02186435f5db,Magiccards,10,51,19.61,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
32,dae3c760-297e-4989-9070-2151a940c1cd,blackfire,10,35,28.57,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
33,c2836c77-5439-4cd2-8207-eeb5807f30f7,ToJ TRow,6,18,33.33,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
34,98aa547d-388e-4a04-9de2-498754736f49,chrixclub,2,18,11.11,2025-06-02,2025-07-01,estimated,exports/yearly/2025_race.csv
