rank,player_id,name,wins,games,winrate,period_start,period_end,quality,source
1,310a150e-3304-4e36-8328-97bbfe0a28f6,Daniel,415,707,58.7,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
2,b886a191-8850-4632-a8b3-b2b2f03cba88,leck sibbi,322,535,60.19,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
3,caf4e45f-81de-4c20-927e-f1a5820cf3cb,HC,237,733,32.33,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
4,f45172ef-58c6-4054-a97b-aafa5dc492fb,Lavender77,221,582,37.97,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
5,216a32dd-44ef-4a42-b132-c3fab926904d,_MAESTRO_,183,426,42.96,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
6,e28b4f9d-915c-4eb1-9932-af4f14c16ae2,Carlonane,182,662,27.49,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
7,ef0f1623-66b8-4e57-9f0a-08b104875b7e,GrosserSpino,167,418,39.95,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
8,16984496-8e4b-4bbe-b5af-57f361c7e9ca,jess ♡,150,512,29.3,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
9,9397fe2e-dee1-48dc-b4a9-84d69b16b708,BOOPSY,144,305,47.21,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
10,c33a47f8-7c32-4197-a497-6335171a926e,pulga,112,587,19.08,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
11,81165876-ce4e-4e3c-a3a7-237720a31d4e,lizaveta,102,264,38.64,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
12,2e5f5861-e9b6-42b5-8a52-6e35c144f95e,Drew Lock,87,290,30.0,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
13,e37843f3-5e95-48de-bd9f-638bf5f4b84d,twilightphi,74,156,47.44,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
14,e66af725-24c9-4358-a2f8-931ce82b7182,Frijoles,73,289,25.26,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
15,c2836c77-5439-4cd2-8207-eeb5807f30f7,ToJ TRow,70,230,30.43,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
16,0ac8bcaa-06a6-4f59-9a7a-5bcf730dd9d0,27,66,199,33.17,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
17,a804268f-9c76-413e-808f-1e934fe46b90,Afterglow,58,278,20.86,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
18,42cbe1e1-ee66-435b-9e5e-b10e1298213b,mochita,57,203,28.08,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
19,61db8d45-d4d2-453a-b77a-70b8a3c03c1e,mukill3r,49,281,17.44,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
20,ede8b0c4-421f-4fb9-b0b2-7d2896d56585,DreamyBread.XCJF,49,171,28.65,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
21,313f4c0f-e782-4d19-a71b-a1ddf01cc8a2,handymanny,47,214,21.96,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
22,c01c6a1f-3d78-4289-b6a6-5f05ae69f295,ToJ Seatron,33,71,46.48,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
23,292f9c0f-693f-4937-8ae7-8bc1b7874d96,Den Kelly,15,49,30.61,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
24,9092613a-e4db-4180-870a-7be368c530f8,HotDonut.65TN,8,22,36.36,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
25,0ee46d5e-afdd-4786-b745-97e3df034412,Norsunaama,7,36,19.44,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
26,dae3c760-297e-4989-9070-2151a940c1cd,blackfire,6,38,15.79,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
27,0c17cbc7-57b1-454e-857b-b34934b5b156,Los diablo,6,29,20.69,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
28,6ed71f6b-f000-4af1-beae-e1351fe01aab,. .,6,19,31.58,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
29,4cee8b5d-7340-4cd4-980d-38c59a322b7f,Lord Cuctus,3,13,23.08,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
30,deb5bcf5-2747-4645-bf7a-b29222e31fce,Liamiscool,1,2,50.0,2025-10-01,2025-10-31,estimated,exports/yearly/2025_race.csv
