rank,player_id,name,wins,games,winrate,period_start,period_end,quality,source
1,310a150e-3304-4e36-8328-97bbfe0a28f6,lucifer,842,1782,47.25,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
2,b886a191-8850-4632-a8b3-b2b2f03cba88,leck sibbi,596,1681,35.46,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
3,0c106935-7f93-4047-a66f-bf53ef779208,Refrag,413,1110,37.21,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
4,9397fe2e-dee1-48dc-b4a9-84d69b16b708,Boopsy,339,1032,32.85,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
5,12f5249a-a391-4f6e-9003-ed023cf3ed88,Yoyble,249,440,56.59,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
6,92c5c647-05a8-44e6-8210-cc5f1aa4b1cd,fishes,238,472,50.42,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
7,313f4c0f-e782-4d19-a71b-a1ddf01cc8a2,handymanny,219,1095,20.0,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
8,0ac8bcaa-06a6-4f59-9a7a-5bcf730dd9d0,27,185,761,24.31,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
9,e37843f3-5e95-48de-bd9f-638bf5f4b84d,twilightphi,176,696,25.29,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
10,81165876-ce4e-4e3c-a3a7-237720a31d4e,lizaveta,162,459,35.29,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
11,c2836c77-5439-4cd2-8207-eeb5807f30f7,TRow,155,559,27.73,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
12,ef0f1623-66b8-4e57-9f0a-08b104875b7e,GrosserSpino,150,431,34.8,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
13,4a4fd4c1-2f17-404d-90f0-1ba82b6434bf,annoying bee,145,437,33.18,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
14,01c87361-c149-41b0-85d9-72d7ae697408,Zoro,145,368,39.4,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
15,dc3933e5-812c-4e12-b564-07e937a208db,superman,129,448,28.79,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
16,b36f404b-c5f0-40b8-b70e-ef45cf916817,Shparkles,111,419,26.49,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
17,b45a33eb-ad46-4ffa-b5b0-f008bdcc5bb6,The great potato,104,519,20.04,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
18,e66af725-24c9-4358-a2f8-931ce82b7182,Frijoles,102,363,28.1,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
19,118120d6-4073-467d-863e-a6a167ca2070,UNCLE IROH,97,339,28.61,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
20,ede8b0c4-421f-4fb9-b0b2-7d2896d56585,DreamyBread.XCJF,93,292,31.85,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
21,157caad4-37bc-4ca1-aa59-4e9f6cf8c3fb,sk,93,128,72.66,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
22,f9ed08e1-0353-4f99-a5b9-0f388a07c3eb,TrainedPumpkin1,71,174,40.8,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
23,486a0889-6177-46af-9bbf-0bcd1dddd9f3,Dioxp,69,292,23.63,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
24,8471b9c5-3541-4f9f-86a3-963697e01c70,Prodoglover,69,204,33.82,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
25,a67f4459-78d2-4461-a046-7b22154aec3a,batoroyal,68,339,20.06,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
26,b204dc60-ffa9-41b9-8b5a-e47b7cff904d,TheQueen,64,310,20.65,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
27,bb4c6de8-31ad-4982-8998-1046ee4c2db2,CherryCatcher,63,161,39.13,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
28,91063aef-c31e-40eb-a93f-9bead8e4cc2a,DREPY,54,153,35.29,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
29,cb206154-3758-43c6-bc2e-1eab690c3422,Gaming Beast,50,77,64.94,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
30,98aa547d-388e-4a04-9de2-498754736f49,chrixclub,46,348,13.22,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
31,4cee8b5d-7340-4cd4-980d-38c59a322b7f,Lord Cuctus,44,202,21.78,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
32,98e63e75-1ec5-4310-80ee-020ba1d60dd0,GooberNut,32,77,41.56,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
33,021b3a58-690e-497f-8f04-ad31d4094862,LilLoser,29,57,50.88,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
34,bcd8e308-c220-413d-9b7d-8753ce7c5929,ShallowStorm,25,81,30.86,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
35,97f1fe3a-3a1d-4594-83e8-0045f970a901,lolo,23,95,24.21,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
36,f2167709-9017-43dc-b6f1-628c8eaadb62,ROCKET BOT,1,13,7.69,2024-10-30,2024-12-04,estimated,exports/yearly/2024_race.csv
