rank,player_id,name,wins,games,winrate,period_start,period_end,quality,source
1,9397fe2e-dee1-48dc-b4a9-84d69b16b708,BOOPSY,428,957,44.72,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
2,16984496-8e4b-4bbe-b5af-57f361c7e9ca,jess,334,1338,24.96,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
3,f45172ef-58c6-4054-a97b-aafa5dc492fb,Lavender77,299,753,39.71,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
4,310a150e-3304-4e36-8328-97bbfe0a28f6,LUCIFER,277,586,47.27,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
5,caf4e45f-81de-4c20-927e-f1a5820cf3cb,HC,183,539,33.95,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
6,c01c6a1f-3d78-4289-b6a6-5f05ae69f295,ToJ Seatron,158,285,55.44,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
7,216a32dd-44ef-4a42-b132-c3fab926904d,_MAESTRO_,141,393,35.88,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
8,b886a191-8850-4632-a8b3-b2b2f03cba88,leck sibbi,141,224,62.95,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
9,0ac8bcaa-06a6-4f59-9a7a-5bcf730dd9d0,tung tung sahur,138,409,33.74,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
10,e28b4f9d-915c-4eb1-9932-af4f14c16ae2,Carlonane,134,538,24.91,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
11,6ed71f6b-f000-4af1-beae-e1351fe01aab,. .,121,341,35.48,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
12,61db8d45-d4d2-453a-b77a-70b8a3c03c1e,mukill3r,107,523,20.46,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
13,ef0f1623-66b8-4e57-9f0a-08b104875b7e,GrosserSpino,107,276,38.77,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
14,c33a47f8-7c32-4197-a497-6335171a926e,pulga,95,460,20.65,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
15,e37843f3-5e95-48de-bd9f-638bf5f4b84d,twilightphi,89,197,45.18,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
16,a804268f-9c76-413e-808f-1e934fe46b90,Afterglow,84,429,19.58,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
17,81165876-ce4e-4e3c-a3a7-237720a31d4e,lizaveta,81,201,40.3,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
18,2e5f5861-e9b6-42b5-8a52-6e35c144f95e,Drew Lock,67,217,30.88,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
19,c2836c77-5439-4cd2-8207-eeb5807f30f7,ToJ TRow,66,144,45.83,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
20,b36f404b-c5f0-40b8-b70e-ef45cf916817,Shparkles,62,185,33.51,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
21,e66af725-24c9-4358-a2f8-931ce82b7182,Frijoles,60,299,20.07,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
22,ede8b0c4-421f-4fb9-b0b2-7d2896d56585,DreamyBread.XCJF,38,143,26.57,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
23,42cbe1e1-ee66-435b-9e5e-b10e1298213b,mochita,37,99,37.37,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
24,4cee8b5d-7340-4cd4-980d-38c59a322b7f,Lord Cuctus,33,115,28.7,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
25,313f4c0f-e782-4d19-a71b-a1ddf01cc8a2,handymanny,25,84,29.76,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
26,2b6447a8-44de-485d-91fa-a9633b4a66af,ToJ QTN Nothing,10,37,27.03,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
27,292f9c0f-693f-4937-8ae7-8bc1b7874d96,Den Kelly,9,32,28.12,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
28,9092613a-e4db-4180-870a-7be368c530f8,HotDonut.65TN,8,35,22.86,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
29,0ee46d5e-afdd-4786-b745-97e3df034412,Norsunaama,5,21,23.81,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
30,dae3c760-297e-4989-9070-2151a940c1cd,blackfire,3,24,12.5,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
31,deb5bcf5-2747-4645-bf7a-b29222e31fce,Liamiscool,3,10,30.0,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
32,0c17cbc7-57b1-454e-857b-b34934b5b156,Los diablo,2,6,33.33,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
33,8250fdc6-0dba-4c3c-b66b-02186435f5db,Magiccards,1,6,16.67,2025-09-01,2025-10-01,exact,exports/yearly/2025_race.csv
